,Experiment,Model,Metric/Class,Hyperparameters,Performance
255,specific_ADASYN,RandomForestClassifier,precision_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.9617718678380444
256,specific_ADASYN,RandomForestClassifier,precision_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.9556565771271653
257,specific_ADASYN,RandomForestClassifier,precision_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.8587746268041517
258,specific_ADASYN,RandomForestClassifier,recall_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.9003003003003004
259,specific_ADASYN,RandomForestClassifier,recall_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.9334834834834833
260,specific_ADASYN,RandomForestClassifier,recall_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.9307807807807806
261,specific_ADASYN,RandomForestClassifier,f1-score_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.9295117656259185
262,specific_ADASYN,RandomForestClassifier,f1-score_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.9441057033355852
263,specific_ADASYN,RandomForestClassifier,f1-score_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.8924725594485267
264,specific_ADASYN,ExtraTreesClassifier,precision_GREEN,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.9714471079176962
265,specific_ADASYN,ExtraTreesClassifier,precision_RED,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.9566923755313848
266,specific_ADASYN,ExtraTreesClassifier,precision_YELLOW,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.8991993060678404
267,specific_ADASYN,ExtraTreesClassifier,recall_GREEN,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.914039039039039
268,specific_ADASYN,ExtraTreesClassifier,recall_RED,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.963963963963964
269,specific_ADASYN,ExtraTreesClassifier,recall_YELLOW,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.9418168168168167
270,specific_ADASYN,ExtraTreesClassifier,f1-score_GREEN,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.9413280706823084
271,specific_ADASYN,ExtraTreesClassifier,f1-score_RED,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.9599531967401926
272,specific_ADASYN,ExtraTreesClassifier,f1-score_YELLOW,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.919051993625752
